reaction	linear_coefficient
rxn38104_c	[0.03279106858054227]
rxn38135_c	[0.03279106858054227]
rxn38099_c	[0.03279106858054227]
rxn16150_c	[0.010477018993765406]
rxn19213_c	[0.01227490213136146]
rxn30697_c	[0.20503407278526894]
rxn27789_c	[0.010885892416992895]
rxn01203_c	[0.00881832680875743]
rxn01202_c	[0.00881832680875743]
rxn30897_c	[0.010477018993765406]
rxn28001_c	[0.010477018993765406]
rxn28169_c	[0.010477018993765406]
rxn02196_c	[0.025135566188197768]
rxn06485_c	[0.01591416557923735]
rxn00965_c	[0.06224735392199507]
rxn19836_c	[0.002398144120632159]
rxn37953_c	[0.007385819921705089]
rxn05107_c	[0.04741771784833986]
rxn01142_c	[0.010758300710453821]
rxn01064_c	[0.028307959982601133]
rxn32658_c	[0.014731042482238653]
rxn33497_c	[0.014731042482238653]
rxn38344_c	[0.014731042482238653]
rxn31397_c	[0.0004088734232274902]
rxn31381_c	[0.0004088734232274902]
rxn11962_c	[0.0004088734232274902]
rxn06043_c	[0.02629549079309845]
rxn16544_c	[0.008012179208351457]
rxn33166_c	[0.06755690880092793]
rxn07585_c	[0.012419892706974045]
rxn15699_c	[0.012419892706974045]
rxn30386_c	[0.004062635928664637]
rxn38078_c	[0.004062635928664637]
rxn31329_c	[0.004062635928664637]
rxn16206_c	[0.002766420182688125]
rxn35345_c	[0.002766420182688125]
rxn19898_c	[0.010477018993765406]
rxn00615_c	[0.02448890822096564]
rxn35246_c	[0.03415397999130056]
rxn32777_c	[0.03415397999130056]
rxn33736_c	[0.046034507756995795]
rxn03236_c	[0.28668406553574016]
rxn31235_c	[0.0044802087864288815]
rxn16641_c	[0.006582572132811367]
rxn32471_c	[0.027411918225315354]
rxn31866_c	[0.28668406553574016]
rxn19830_c	[0.028307959982601133]
rxn31790_c	[0.010274032187907785]
rxn33374_c	[0.00759170653907496]
rxn32803_c	[0.011915325503842252]
rxn32571_c	[0.011915325503842252]
rxn32492_c	[0.011915325503842252]
rxn34257_c	[0.011915325503842252]
rxn33087_c	[0.011915325503842252]
rxn38004_c	[0.011915325503842252]
rxn31773_c	[0.010477018993765406]
rxn12039_c	[0.010477018993765406]
rxn21212_c	[0.010477018993765406]
rxn31997_c	[0.010477018993765406]
rxn21114_c	[0.010477018993765406]
rxn03358_c	[0.010477018993765406]
rxn21214_c	[0.010477018993765406]
rxn11875_c	[0.010477018993765406]
rxn27000_c	[0.010477018993765406]
rxn19157_c	[0.010477018993765406]
rxn03195_c	[0.010477018993765406]
rxn12038_c	[0.010477018993765406]
rxn03359_c	[0.010477018993765406]
rxn01715_c	[0.010477018993765406]
rxn21216_c	[0.010477018993765406]
rxn03342_c	[0.010477018993765406]
rxn33386_c	[0.010477018993765406]
rxn21211_c	[0.010477018993765406]
rxn02144_c	[0.06121212121212121]
rxn30580_c	[0.08780629259098159]
rxn30431_c	[0.0010613310134841235]
rxn30429_c	[0.0010613310134841235]
rxn30430_c	[0.0010613310134841235]
rxn30428_c	[0.0010613310134841235]
rxn32580_c	[0.009662171958822676]
rxn01361_c	[0.02629549079309845]
rxn03039_c	[0.012419892706974045]
rxn35432_c	[0.008539944903581268]
rxn32399_c	[0.004929679570827896]
rxn32462_c	[0.006744961577497463]
rxn38136_c	[0.010477018993765406]
rxn01025_c	[0.20503407278526894]
rxn02090_c	[0.20503407278526894]
rxn00717_c	[0.20503407278526894]
