reaction	linear_coefficient
rxn32924_c	[0.03300632057101868, 0.031047594218560872, 0.03851756212390375, 0.035187013910515694]
rxn02663_c	[0.03300632057101868, 0.031047594218560872, 0.03851756212390375, 0.035187013910515694]
rxn33182_c	[0.06508128685876857, 0.07602271148963029, 0.08416841480793649, 0.05713821344332086]
rxn37337_c	[0.002970927104526727, 0.00198359903889106, 0.002770876209140735, 0.0025273838168832687]
rxn26310_c	[0.002573747134445756, 0.0019956437947311143, 0.002770876209140735, 0.003141150908970113]
rxn27893_c	[0.01616374288888515, 0.016425260962403293, 0.017046096142905302, 0.019943927657874828]
rxn02986_c	[0.025763025126124047, 0.02803640532462023, 0.029669855918720626, 0.023305097533288643]
rxn16806_c	[0.025763025126124047, 0.02803640532462023, 0.029669855918720626, 0.023305097533288643]
rxn14250_c	[0.07359381973867109, 0.07523980238067456, 0.07905108428627396, 0.06448897697320877]
rxn06348_c	[0.027059355597452713, 0.02867477737340626, 0.031502554863465745, 0.02729469118776274]
rxn20026_c	[0.09344208370187752, 0.11519225660436863, 0.13500056460884466, 0.07506743335325107]
rxn05029_c	[0.058307758167109175, 0.07118071975920794, 0.06350719282949836, 0.05422101456451033]
rxn03535_c	[0.058307758167109175, 0.07118071975920794, 0.06350719282949836, 0.05422101456451033]
rxn08194_c	[0.058307758167109175, 0.07118071975920794, 0.06350719282949836, 0.05422101456451033]
rxn00615_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn20503_c	[0.11778814243543176, 0.10909761025336599, 0.1102028338529377, 0.1004196246541836]
rxn00407_c	[0.12271532094970243, 0.16050462699931575, 0.16897750705631745, 0.11187179649814236]
rxn32567_c	[0.12271532094970243, 0.16050462699931575, 0.16897750705631745, 0.11187179649814236]
rxn16151_c	[0.020715210666074596, 0.023387129674424148, 0.026950262917965012, 0.01591472721957506]
rxn04160_c	[0.07541870068714968, 0.08766999011688965, 0.07352863176333127, 0.0867362288538365]
rxn38811_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn32093_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn33327_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn32850_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn32210_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn33082_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn31834_c	[0.09610426295018774, 0.1089530732262328, 0.1102028338529377, 0.08949457042353864]
rxn35346_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn31870_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn28327_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn38087_c	[0.005042703709441605, 0.0051272802412909105, 0.006406313100230061, 0.004679179034441447]
rxn16800_c	[0.012234881555924353, 0.010234256604324029, 0.007483084730488119, 0.01748163850195034]
rxn30580_c	[0.1598462809943164, 0.1998307539787927, 0.1612801890512945, 0.15824370552777364]
rxn27110_c	[0.12699842390534333, 0.12958573946570276, 0.1612801890512945, 0.10636233426943136]
rxn30386_c	[0.017462628743287995, 0.015533949050061157, 0.020905416244618922, 0.01294698280867107]
rxn30418_c	[0.017462628743287995, 0.015533949050061157, 0.020905416244618922, 0.01294698280867107]
rxn19763_c	[0.006899788437487527, 0.007608499887354185, 0.009508694728203917, 0.005740635064768562]
rxn38078_c	[0.017462628743287995, 0.015533949050061157, 0.020905416244618922, 0.01294698280867107]
rxn17745_c	[0.008381162385102383, 0.007921663532588304, 0.009231505991654072, 0.007192013718062387]
rxn31329_c	[0.017462628743287995, 0.015533949050061157, 0.020905416244618922, 0.01294698280867107]
rxn32658_c	[0.025763025126124047, 0.02443502341020926, 0.02784579576239219, 0.023305097533288643]
rxn33497_c	[0.025763025126124047, 0.02443502341020926, 0.02784579576239219, 0.023305097533288643]
rxn38344_c	[0.025763025126124047, 0.02443502341020926, 0.02784579576239219, 0.023305097533288643]
rxn03599_c	[0.06188237790192752, 0.07014487077843698, 0.07457342008343797, 0.05422101456451033]
rxn33281_c	[0.07523621259311973, 0.07953978011894226, 0.09041582248192268, 0.06693682455691037]
rxn30979_c	[0.07523621259311973, 0.07953978011894226, 0.09041582248192268, 0.06693682455691037]
rxn33994_c	[0.07523621259311973, 0.07953978011894226, 0.09041582248192268, 0.06693682455691037]
rxn33568_c	[0.03414418751122643, 0.031866637592559026, 0.035511130440858886, 0.02757630197069077]
rxn00367_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn00463_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn32148_c	[0.03414418751122643, 0.031866637592559026, 0.035511130440858886, 0.02757630197069077]
rxn02176_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn29978_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn02154_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn38181_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn33891_c	[0.07550457743920592, 0.08316525155989979, 0.08601278602175141, 0.07019340053685384]
rxn33736_c	[0.03552895010950632, 0.030385132659746555, 0.029669855918720626, 0.05638725135795556]
rxn32253_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
rxn38254_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
rxn37937_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
rxn30355_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
rxn33740_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
rxn33295_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
rxn34671_c	[0.0072432954391691805, 0.0068858145534691625, 0.006672840730822802, 0.00750250766229137]
