keggID	Base mean DMC
kde:CDSE_0044	70.09
afw:Anae109_2257	9.94
hht:F506_08165	50.55
mthr:MSTHT_0740	2.11
brm:Bmur_0931	8.79
bof:FQV39_14950	26.9
lil:LA_2420	80.27
lic:LIC_11534	11.73
roc:HF520_02550	38.95
lis:LIL_11658	30.04
lil:LA_2410	20.94
lil:LA_2409	121.08
lil:LA_2408	74.56
dwd:DSCW_47150	70.67
arca:HC352_05765	9.84
lfs:HFV01_24045	33.48
cbi:CLJ_B0032	33.78
lil:LA_2396	39.07
lic:LIC_11554	64.18
salx:SALLE_v1c03860	45.15
amyy:YIM_28115	153.83
mka:MK0192	41.75
hmo:HM1_1592	51.94
lic:LIC_11585	8.05
lic:LIC_11586	28.45
lie:LIF_A1928	987.63
llm:llmg_1854	54.17
lic:LIC_11597	125.76
net:Neut_0908	19.05
rba:RB10127	55.63
efv:CHH26_09260	5.36
metb:AW729_01355	13.66
lil:LA_2335	43.17
lic:LIC_11610	14.81
lic:LIC_11615	31.29
lil:LA_2326	85.32
lic:LIC_11618	30.5
tpx:Turpa_1643	12.74
lic:LIC_11626	38.66
lic:LIC_11630	492.84
dat:HRM2_08670	89.19
lic:LIC_11633	440.06
agu:AS4_34150	40.17
rba:RB10127	16.87
lic:LIC_11646	23.99
lil:LA_2286	55.23
lic:LIC_11655	69.18
lic:LIC_11656	10.75
lil:LA_2274	49.46
lie:LIF_A1847	20.94
lil:LA_2261	32.6
ial:IALB_0540	72.76
sdz:Asd1617_00381	15.17
salh:HMF8227_02526	53.97
lic:LIC_11699	104.24
lil:LA_2226	25.18
oac:Oscil6304_5106	308.41
arp:NIES39_E02730	711.46
saf:SULAZ_1426	57.2
hhy:Halhy_4875	105.39
sfla:SPHFLASMR4Y_01522	18.65
psuu:Psuf_007680	83.45
aka:TKWG_11425	7.84
lil:LA_2202	82.68
lil:LA_2200	101.21
cbei:LF65_02094	455.95
lic:LIC_11735	5.7
lic:LIC_11746	33.05
lic:LIC_11747	60.0
dal:Dalk_2094	36.2
weo:ASM33_05685	7.14
kqi:F1D05_15540	12.4
lis:LIL_11890	25.45
lil:LA_2153	27.67
lil:LA_2152	49.61
csq:CSCA_1240	27.61
lil:LA_2147	26.35
lil:LA_2145	27.64
fbe:FF125_09250	37.65
lic:LIC_11778	30.84
lil:LA_2141	21.1
lil:LA_2140	58.35
lil:LA_2139	292.41
lic:LIC_11786	7.54
baci:B1NLA3E_17845	13.61
lic:LIC_11790	159.64
lis:LIL_11918	33.85
lil:LA_2119	34.51
lic:LIC_11803	10.26
kal:KALB_1452	9.88
mpli:E1742_16830	16.84
sali:L593_11230	30.32
pmt:PMT_1961	9.51
hcv:FTV88_0636	17.34
lic:LIC_11812	36.1
lic:LIC_11813	41.83
lil:LA_2097	67.1
lil:LA_2096	44.43
lil:LA_2095	157.75
pcay:FRD00_28285	52.16
pth:PTH_0951	22.71
lil:LA_2092	30.27
lil:LA_2087	91.94
lil:LA_2076	24.17
lic:LIC_11852	35.01
lil:LA_2061	19.98
pbas:SMSP2_01647	24.84
lic:LIC_11855	38.72
pth:PTH_0951	20.39
lic:LIC_11860	26.41
lil:LA_2051	31.29
lil:LA_2050	37.34
lxy:O159_16300	12.95
lic:LIC_11866	25.03
lil:LA_2047	48.9
lie:LIF_A1650	12.91
ade:Adeh_0371	19.09
hhd:HBHAL_2473	30.8
pts:CUJ90_21645	5.92
len:LEP3755_10520	16.54
slac:SKTS_23530	8.71
lil:LA_2010	52.53
lil:LA_2009	48.25
lil:LA_2001	11.99
gsk:KN400_2489	5.29
fes:HER31_17020	103.67
lic:LIC_11915	32.32
lil:LA_1986	206.04
keu:S101446_00590	26.18
ttr:Tter_0104	34.52
cbut:ATN24_11095	57.73
gsb:GSUB_07665	43.1
lbi:LEPBI_I2850	25.24
axo:NH44784_059261	68.35
rub:GBA63_11955	26.4
lil:LA_1951	116.99
lgt:E4T54_05160	104.33
lil:LA_1930	193.8
mjl:Mjls_5689	144.99
deo:CAY53_10930	7.56
lis:LIL_12111	102.02
cct:CC1_05430	16.34
pmy:Pmen_1295	13.91
con:TQ29_11650	34.43
lil:LA_1898	193.54
lil:LA_1897	566.26
lil:LA_1896	323.88
lic:LIC_12184	44.57
lil:LA_1889	5.83
cpeg:CPELA_01210	107.95
bsto:C0V70_02780	20.48
lil:LA_1865	24.47
lkm:EFP84_03100	33.57
fia:NA23_08610	8.77
star:G3545_23690	154.63
lil:LA_1859	1363.79
plu:plu4830	214.71
dwd:DSCW_34400	21.1
arp:NIES39_E02730	7.42
ter:Tery_3412	59.95
lic:LIC_12072	61.89
lic:LIC_12074	49.77
dsf:UWK_03168	55.61
kal:KALB_1452	12.61
lic:LIC_12082	193.74
plut:EI981_14185	18.46
amac:MASE_09290	17.01
synp:Syn7502_00472	1.73
lil:LA_1704	201.96
lic:LIC_12091	190.28
lic:LIC_12094	34.08
oac:Oscil6304_5106	62.83
bok:DM82_134	32.96
lic:LIC_12101	46.6
lec:LGMK_02530	16.2
dau:Daud_2046	11.5
dsf:UWK_01734	86.66
xyl:ET495_09035	8.0
mik:FOE78_04005	22.16
lil:LA_1662	39.83
lic:LIC_12124	37.82
lic:LIC_12125	36.13
lil:LA_1659	20.14
pul:NT08PM_0488	44.63
ag:AAS55722	32.67
ag:AAS55720	6.7
hni:W911_04430	39.09
vvm:VVMO6_02768	38.15
ras:RAS_p070	30.62
lic:LIC_12141	54.06
sdl:Sdel_1788	73.66
pbk:Back11_01900	41.27
lil:LA_1634	55.16
lil:LA_1633	39.19
lil:LA_1632	60.74
lil:LA_1631	92.2
lil:LA_1629	53.47
paf:PAM18_3946	39.01
lie:LIF_A1313	59.72
lgn:ABM34_10260	84.6
lic:LIC_12157	50.52
lil:LA_1624	68.1
lic:LIC_12161	39.78
ag:AAF67507	227.86
hcp:HCN_1199	63.64
hcv:FTV88_2809	130.53
ipo:Ilyop_0062	122.77
lil:LA_1615	55.65
clt:CM240_1652	102.77
bgw:VE98_C0001G0439	222.14
pys:Py04_1589	70.41
gka:GK3126	142.52
ecm:EcSMS35_3232	125.03
naf:GQ61_04745	123.65
lil:LA_1606	92.96
adp:NCTC12871_01317	81.61
lil:LA_1603	67.81
run:DR864_11465	99.24
dug:HH213_09665	57.51
aai:AARI_04680	213.66
lic:LIC_12184	55.95
lil:LA_1577	64.86
lil:LA_1596	76.77
arg:QT11_C0001G0506	151.58
ag:CAK50784	193.28
anm:GFC28_1688	75.39
lic:LIC_12194	138.87
lic:LIC_12195	133.61
brad:BF49_6200	171.22
aoz:HUE56_00815	237.31
arg:QT11_C0001G0506	193.78
synk:KR100_01405	227.05
lic:LIC_12201	94.39
lic:LIC_12202	146.64
lil:LA_1579	85.67
ncv:NCAV_0985	145.87
lil:LA_1577	177.04
malg:MALG_02854	106.64
lkm:EFP84_17850	16.0
anc:GBB76_17500	4.77
mbu:Mbur_1899	1.57
thec:FFX45_12040	19.87
cpas:Clopa_4535	71.24
lil:LA_1532	90.26
lmay:DPV73_12440	35.73
bmar:HF888_03850	79.06
lic:LIC_12243	33.4
lic:LIC_12248	38.79
