"PATRIC","ut30","to30","ut37","to37"
"fig|214675.23.peg.271",48.919819,3.60624,15.976898,4.093426
"fig|214675.23.peg.146",1.637666,NA,1.162153,1.436145
"fig|214675.23.peg.147",351.774658,10.751351,74.259872,9.534515
"fig|214675.23.peg.148",1.399478,NA,4.541108,NA
"fig|214675.23.peg.149",79.577438,20.297203,14.595522,11.401622
"fig|214675.23.peg.150",11.399189,7.65808,26.453352,9.572454
"fig|214675.23.peg.151",2.563452,3.529382,4.651771,8.666706
"fig|214675.23.peg.152",3.056056,0.854134,7.809309,5.196998
"fig|214675.23.peg.153",7.518262,1.505674,34.94561,11.59781
"fig|214675.23.peg.154",1.142437,0.418486,0.959111,0.644235
"fig|214675.23.peg.155",30.119574,2.498266,24.306786,3.010379
"fig|214675.23.peg.157",28.02434,5.230678,14.742265,6.082886
"fig|214675.23.peg.158",19.535872,6.280196,13.753931,6.823591
"fig|214675.23.peg.159",72.871361,16.100588,31.585518,10.866499
"fig|214675.23.peg.160",122.015862,23.720482,45.983921,13.16048
"fig|214675.23.peg.161",24.229031,1.796662,11.959301,1.900587
"fig|214675.23.peg.162",79.74884,4.123108,22.548409,3.306213
"fig|214675.23.peg.163",7.133683,0.765566,4.770022,1.235041
"fig|214675.23.peg.164",0.953659,0.799328,0.813885,NA
"fig|214675.23.peg.165",4.983432,1.663621,1.845092,1.274341
"fig|214675.23.peg.168",23.992653,3.714075,8.36407,2.815991
"fig|214675.23.peg.169",9.950541,2.630472,4.987262,2.870382
"fig|214675.23.peg.170",2.33618,0.436194,1.743542,0.758831
"fig|214675.23.peg.171",0.697197,0.398044,2.123688,NA
"fig|214675.23.peg.172",13.661402,1.387273,11.49403,2.326172
"fig|214675.23.peg.173",5.223279,1.012827,3.06512,1.410809
"fig|214675.23.peg.174",1.132666,0.570162,NA,1.92942
"fig|214675.23.peg.175",13.655429,1.136085,16.334818,2.35582
"fig|214675.23.peg.176",41.206062,5.803097,34.503918,14.378591
"fig|214675.23.peg.177",2.252445,0.456093,0.610142,1.410517
"fig|214675.23.peg.178",1.33308,NA,NA,NA
"fig|214675.23.peg.181",3.742156,0.451293,1.044969,NA
"fig|214675.23.peg.182",8.196915,1.312679,1.292055,0.632931
"fig|214675.23.peg.183",5.566304,4.195348,1.293167,1.733212
"fig|214675.23.peg.185",1.818301,0.456093,NA,0.785207
"fig|214675.23.peg.186",2.249336,2.125066,0.995211,0.81165
"fig|214675.23.peg.187",3.275279,1.652876,1.434443,1.359946
"fig|214675.23.peg.190",83.852943,1.880759,25.786121,4.855529
"fig|214675.23.peg.191",28.101938,7.813193,33.468941,12.031641
"fig|214675.23.peg.192",2.124756,3.064573,0.905679,1.661783
"fig|214675.23.peg.193",104.168571,27.703279,28.399155,14.641447
"fig|214675.23.peg.195",3973.101318,631.111938,392.031982,125.599579
"fig|214675.23.peg.196",6.983697,1.109323,5.072647,1.436044
"fig|214675.23.peg.199",1.072593,NA,2.423884,1.14783
"fig|214675.23.peg.200",2.334467,52.320713,12.977851,68.332314
"fig|214675.23.peg.201",220.635742,63.254173,230.140518,113.001915
"fig|214675.23.peg.202",42.394035,4.096327,34.928986,8.090935
"fig|214675.23.peg.203",11.020821,1.175994,14.669957,2.745664
"fig|214675.23.peg.204",10.355096,2.704413,13.578094,9.780656
"fig|214675.23.peg.205",4.612922,1.373945,17.503342,6.947309
"fig|214675.23.peg.206",0.795977,0.922659,1.64377,1.268654
"fig|214675.23.peg.207",7.852153,4.057093,4.415283,5.865398
"fig|214675.23.peg.208",9.265384,0.738957,11.540648,1.474214
"fig|214675.23.peg.209",1.439351,1.746125,0.679721,2.574465
"fig|214675.23.peg.211",1.1831,0.575644,1.893585,0.994357
"fig|214675.23.peg.214",0.649385,NA,0.625634,NA
"fig|214675.23.peg.216",105.714867,14.427505,8.941514,3.226599
"fig|214675.23.peg.217",0.80197,3.511465,NA,1.68814
"fig|214675.23.peg.218",47.746258,6.716409,27.35848,6.929605
"fig|214675.23.peg.219",0.918242,NA,NA,NA
"fig|214675.23.peg.220",3.084922,2.998895,2.979941,4.512381
"fig|214675.23.peg.221",1.354484,NA,0.815826,NA
"fig|214675.23.peg.222",31.316164,5.83646,16.580048,8.679391
"fig|214675.23.peg.224",49.084415,6.763938,35.466198,6.602889
"fig|214675.23.peg.225",18.971024,3.242609,33.204781,12.445987
"fig|214675.23.peg.226",9.412596,1.374824,7.751825,2.066576
"fig|214675.23.peg.228",39.452972,3.636434,12.262601,1.898558
"fig|214675.23.peg.230",6.698225,1.388967,10.411748,3.87429
"fig|214675.23.peg.232",13.914564,1.28463,8.685973,1.718673
"fig|214675.23.peg.233",1.825175,NA,2.834649,0.828114
"fig|214675.23.peg.234",27.430111,3.571085,13.332886,2.143731
"fig|214675.23.peg.235",1.829717,NA,0.687755,0.66169
"fig|214675.23.peg.236",2.884247,1.456372,0.884458,1.041519
"fig|214675.23.peg.237",6.155751,1.611467,6.210639,3.990031
"fig|214675.23.peg.238",3.768242,9.848468,3.248574,14.442741
"fig|214675.23.peg.239",4.871102,2.835283,6.861095,4.219176
"fig|214675.23.peg.240",38.937035,4.110793,32.285091,8.619859
"fig|214675.23.peg.241",15.935538,4.041533,13.912988,8.907333
"fig|214675.23.peg.272",11.416905,25.73304,8.3748,41.306355
"fig|214675.23.peg.273",21.199072,3.76795,12.318582,5.800195
"fig|214675.23.peg.274",10.606259,6.272629,17.408768,11.007763
"fig|214675.23.peg.275",18.928223,1.752597,13.608544,4.423517
"fig|214675.23.peg.276",27.957731,1.575661,16.107338,2.181138
"fig|214675.23.peg.277",10.038917,5.418993,4.583953,7.104892
"fig|214675.23.peg.278",15.243373,1.493813,12.292239,2.573869
"fig|214675.23.peg.279",652.475708,49.049061,313.791382,79.211891
"fig|214675.23.peg.281",12.323237,2.30206,7.247454,2.609534
"fig|214675.23.peg.282",16.964664,1.465347,8.073153,1.222053
"fig|214675.23.peg.283",16.764629,NA,35.065521,1.373113
"fig|214675.23.peg.284",1.873981,1.020203,1.204588,1.412196
"fig|214675.23.peg.285",6.009484,0.775792,7.829478,1.642806
"fig|214675.23.peg.286",186.459488,41.578926,112.982246,67.329559
"fig|214675.23.peg.287",2.430174,2.103754,1.767007,3.184608
"fig|214675.23.peg.288",9.032916,2.245666,7.071216,3.290814
"fig|214675.23.peg.289",19.481167,1.11233,19.389816,1.788036
"fig|214675.23.peg.290",14.573183,1.690098,5.371214,3.446438
"fig|214675.23.peg.296",0.959027,4.97494,9.008384,5.162886
"fig|214675.23.peg.291",25.050322,2.973835,21.912704,5.055445
"fig|214675.23.peg.292",5.173063,3.443396,5.010814,4.382577
"fig|214675.23.peg.293",24.399717,3.78688,18.018089,4.919143
"fig|214675.23.peg.294",11.608116,2.397255,7.133528,2.46945
"fig|214675.23.peg.298",6.926634,1.160558,6.591346,1.506344
"fig|214675.23.rna.6",55.380589,28.729118,48.332745,28.922382
"fig|214675.23.peg.300",77.450294,12.728235,38.2831,16.746437
"fig|214675.23.peg.301",114.22361,16.065475,56.652729,20.171532
"fig|214675.23.peg.302",29.664785,5.66338,22.812557,5.709118
"fig|214675.23.peg.303",87.732315,2.85691,19.146421,2.939182
"fig|214675.23.peg.304",241.529144,33.16264,308.788879,76.744461
