keggID	to37
mmet:MCMEM_0128	0.668973
mbu:Mbur_1899	0.585904
bbd:Belba_1407	42.625137
fnu:FN1094	4.152317
lil:LA_2706	12.8568
pace:A6070_09145	9.764439
lil:LA_2702	12.046082
lic:LIC_11303	5.246443
lis:LIL_11428	3.728096
gai:IMCC3135_16340	1.059969
lil:LA_3581	4.732756
lil:LA_3573	5.795522
mtai:Mtai_v1c04510	104.248627
lil:LA_3565	3.408895
lagg:B0E33_10030	23.602793
lic:LIC_10633	18.298347
bagr:BA6348_06555	16.441597
fbt:D770_25305	0.511715
kor:AWR26_15100	17.288546
lic:LIC_10648	1.377928
lis:LIL_10662	0.919406
lil:LA_3540	4.561593
pmo:Pmob_0026	0.954793
rsm:CMR15_20106	14.589062
rso:RSc0992	16.195423
bbar:RHAL1_02630	18.732527
lil:LA_3529	5.966792
tcm:HL41_07400	1.487747
lagg:B0E33_10030	10.058441
pth:PTH_0951	4.531147
msa:Mycsm_05708	11.404652
lil:LA_3513	20.678429
tnr:Thena_1233	11.689855
izh:FEM41_11950	4.191404
scot:HBA18_16695	2.574028
lil:LA_3484	42.053448
gme:Gmet_1528	4.411364
grc:GI584_06905	8.644738
rle:RL0959	15.417701
fsi:Flexsi_0525	9.192825
hmo:HM1_1592	0.865973
rbm:TEF_07415	1.723076
rbm:TEF_07415	2.180828
lic:LIC_10728	6.284842
pgo:FSB84_05040	4.820578
lic:LIC_10733	25.244629
pact:CA264_10595	5.667987
lkm:EFP84_11230	8.592241
lic:LIC_10739	7.078514
pel:SAR11G3_00208	1.814014
lie:LIF_B121	0.870591
lil:LB_150	0.946856
lil:LB_151	2.186741
lil:LB_152	3.089194
fnf:BSQ88_02390	4.890267
lic:LIC_20124	4.683004
lil:LB_155	5.240479
lil:LB_156	5.359186
lis:LIL_20138	3.537168
lil:LB_158	3.63537
lic:LIC_20129	2.816708
lic:LIC_20130	5.130355
lis:LIL_20142	5.656501
lic:LIC_20132	9.242462
fse:DI487_07280	7.677439
lbj:LBJ_4177	4.747086
mib:UY43_C0001G0711	10.00569
lil:LB_176	21.342838
nic:DSQ20_03005	7.873033
lil:LA_1821	1.31456
seon:BWZ22_11605	0.92516
red:roselon_00100	2.327209
hht:F506_08165	3.272628
achr:C2U31_11105	10.129728
caba:SBC2_75270	31.964272
lic:LIC_12495	39.433125
spkc:KC8_06955	5.369249
