reaction	linear_coefficient
rxn07474_c	[0.012258453123219432]
rxn38043_c	[0.019356309114884337]
rxn32242_c	[0.019356309114884337]
rxn32174_c	[0.006745133790244246]
rxn05114_c	[0.09853430359071202]
rxn20046_c	[0.11492774621366283]
rxn27816_c	[0.019356309114884337]
rxn27815_c	[0.019356309114884337]
rxn32932_c	[0.01898188093183779]
rxn33143_c	[0.01898188093183779]
rxn10504_c	[0.04912063641938127]
rxn10505_c	[0.04912063641938127]
rxn33750_c	[0.012404968499194166]
rxn04841_c	[0.0834974848193791]
rxn04840_c	[0.0834974848193791]
rxn33349_c	[0.0834974848193791]
rxn02986_c	[0.025222350649280176]
rxn16806_c	[0.025222350649280176]
rxn32413_c	[0.05799838290436887]
rxn35418_c	[0.05799838290436887]
rxn28089_c	[0.05799838290436887]
rxn30338_c	[0.05799838290436887]
rxn33484_c	[0.05799838290436887]
rxn35424_c	[0.05799838290436887]
rxn33568_c	[0.05858987090367428]
rxn00367_c	[0.06921494890954574]
rxn00463_c	[0.06921494890954574]
rxn32148_c	[0.05858987090367428]
rxn02176_c	[0.06921494890954574]
rxn29978_c	[0.06921494890954574]
rxn02154_c	[0.06921494890954574]
rxn38181_c	[0.06921494890954574]
rxn33891_c	[0.06921494890954574]
rxn08113_c	[0.03141398190806432]
rxn38284_c	[0.03141398190806432]
rxn33610_c	[0.15852963680466245]
rxn31994_c	[0.01294761803984133]
rxn27997_c	[0.013522826552927324]
rxn03901_c	[0.027360389839430004]
rxn01610_c	[0.004276078380299651]
rxn32473_c	[0.009718853272990704]
rxn27685_c	[0.009718853272990704]
rxn16520_c	[0.005410215920252224]
rxn06112_c	[0.026676651418214573]
rxn33637_c	[0.01294761803984133]
rxn35351_c	[0.01294761803984133]
rxn32500_c	[0.01294761803984133]
rxn32798_c	[0.01294761803984133]
rxn31783_c	[0.01294761803984133]
rxn31982_c	[0.01294761803984133]
rxn16837_c	[0.25215296205251764]
rxn12005_c	[0.25215296205251764]
rxn07492_c	[0.07332280593224479]
rxn00629_c	[0.032000043411963254]
rxn30618_c	[0.05900228455456613]
rxn20619_c	[0.016279486219414916]
rxn30763_c	[0.449720806811337]
rxn02286_c	[0.017950846804608178]
rxn31528_c	[0.03096900928473364]
rxn35554_c	[0.01357166501158557]
rxn30541_c	[0.01357166501158557]
rxn35553_c	[0.01357166501158557]
rxn35551_c	[0.01357166501158557]
rxn35549_c	[0.01357166501158557]
rxn31250_c	[0.01357166501158557]
rxn31394_c	[0.013338325709107287]
rxn15833_c	[0.2489404767718864]
rxn03439_c	[0.020946272268980527]
rxn16607_c	[0.020946272268980527]
rxn03182_c	[0.020946272268980527]
rxn06864_c	[0.08534249325757946]
rxn00792_c	[0.08534249325757946]
rxn01146_c	[0.41330359613850587]
rxn01648_c	[0.41330359613850587]
rxn01358_c	[0.41330359613850587]
rxn30188_c	[0.41330359613850587]
rxn30189_c	[0.41330359613850587]
rxn33382_c	[0.41330359613850587]
rxn01366_c	[0.41330359613850587]
rxn03030_c	[0.02407736011851466]
rxn35519_c	[0.003852811738594863]
rxn38539_c	[0.01891133649155366]
rxn33241_c	[0.009718853272990704]
rxn32343_c	[0.009718853272990704]
rxn35480_c	[0.009718853272990704]
rxn38104_c	[0.08072997216207857]
rxn38135_c	[0.08072997216207857]
rxn38099_c	[0.08072997216207857]
rxn16150_c	[0.017424476750180433]
rxn19213_c	[0.019356309114884337]
rxn30697_c	[0.25215296205251764]
rxn27789_c	[0.019356309114884337]
rxn01203_c	[0.028342585508001367]
rxn01202_c	[0.028342585508001367]
rxn30897_c	[0.02407736011851466]
rxn28001_c	[0.02407736011851466]
rxn28169_c	[0.02407736011851466]
rxn02196_c	[0.03079536143172655]
rxn06485_c	[0.02261763285417379]
rxn00965_c	[0.25215296205251764]
rxn19836_c	[0.0053776569478133935]
rxn37953_c	[0.01543295293600534]
rxn05107_c	[0.25215296205251764]
rxn01142_c	[0.020946272268980527]
rxn01064_c	[0.05574096081527667]
rxn32658_c	[0.019356309114884337]
rxn33497_c	[0.019356309114884337]
rxn38344_c	[0.019356309114884337]
rxn31397_c	[0.003434971592296547]
rxn31381_c	[0.003434971592296547]
rxn11962_c	[0.003434971592296547]
rxn06043_c	[0.02622082580407096]
rxn16544_c	[0.0266332394549628]
rxn33166_c	[0.05058579017912861]
rxn07585_c	[0.019356309114884337]
rxn15699_c	[0.019356309114884337]
rxn30386_c	[0.007645932027718539]
rxn38078_c	[0.007645932027718539]
rxn31329_c	[0.007645932027718539]
